length,dotsNum,isAtAppers,isHavingIP,slashNum,makafNum,isTinyUrl,isIpInURL,isMailto,subDomainsNum,label
27,2,0,0,2,1,0,0,0,1,1
49,4,0,0,6,0,0,0,0,5,0
162,2,0,0,4,6,0,0,0,3,1
42,3,0,0,5,0,0,0,0,3,0
86,5,0,0,10,1,0,0,0,9,1
28,1,0,0,4,0,0,0,0,2,1
47,3,0,0,4,0,0,0,0,3,0
57,3,0,0,6,0,0,0,0,4,0
31,3,0,0,4,0,0,0,0,2,0
34,3,0,0,3,1,0,0,0,2,0
43,2,0,0,6,0,0,0,0,4,0
61,2,0,0,8,0,0,0,0,7,1
34,2,0,0,4,0,0,0,0,3,0
108,5,0,0,10,2,0,0,0,9,1
47,3,0,0,8,0,0,0,0,7,0
34,3,0,0,4,0,0,0,0,2,0
50,3,0,0,3,0,0,0,0,2,0
34,2,0,0,4,0,0,0,0,3,0
38,3,0,0,3,0,0,0,0,2,0
26,2,0,0,3,0,0,0,0,2,0
47,3,0,0,3,0,0,0,0,2,0
51,4,0,0,4,0,1,0,0,3,1
34,3,0,0,3,0,1,0,0,2,0
62,2,0,0,8,1,0,0,0,6,1
33,2,0,0,4,0,0,0,0,3,0
34,2,0,0,4,0,0,0,0,3,0
102,7,0,0,7,1,0,0,0,6,1
290,8,0,0,5,7,0,0,0,4,1
43,3,0,0,4,0,0,0,0,3,0
61,3,0,0,4,0,0,0,0,3,1
180,3,0,0,4,0,0,0,0,3,1
350,3,0,0,5,8,0,0,0,4,1
34,2,0,0,6,0,0,0,0,4,0
34,3,0,0,3,0,0,0,0,1,1
29,2,0,0,4,0,0,0,0,2,0
160,10,0,0,4,2,0,0,0,2,1
81,4,0,0,8,3,0,0,0,7,1
111,7,0,0,10,1,0,0,0,9,1
90,4,0,0,3,1,0,0,0,2,1
41,2,0,0,6,0,0,0,0,4,0
50,4,0,0,4,0,1,0,0,3,0
35,2,0,0,4,0,0,0,0,2,0
104,6,0,0,10,1,0,0,0,9,1
46,2,0,0,5,0,0,0,0,3,1
34,2,0,0,4,0,0,0,0,3,0
58,4,0,0,5,0,0,0,0,4,1
98,4,0,0,4,0,0,0,0,3,1
110,9,0,0,7,0,0,0,0,6,1
185,11,0,0,4,1,0,0,0,2,1
172,8,0,0,7,5,0,0,0,5,1
68,4,0,0,5,0,0,0,0,3,1
160,4,0,0,5,1,1,0,0,4,1
35,1,0,0,4,0,0,0,0,2,1
34,2,0,0,4,0,0,0,0,2,0
51,4,0,0,6,0,0,0,0,5,1
68,6,0,0,6,0,0,0,0,5,1
86,1,0,0,8,1,0,0,0,6,1
91,4,0,0,9,1,0,0,0,8,1
43,3,0,0,5,0,0,0,0,3,0
42,2,0,0,3,0,1,0,0,1,1
33,2,0,0,3,0,0,0,0,2,0
106,6,0,0,10,1,0,0,0,9,1
152,10,0,0,4,4,0,0,0,2,1
61,3,0,0,4,0,0,0,0,3,0
42,2,0,0,4,0,0,0,0,3,1
53,3,0,0,5,0,0,0,0,4,0
39,2,0,0,4,0,0,0,0,2,1
45,3,0,0,4,0,0,0,0,3,0
71,3,0,0,6,0,0,0,0,5,0
92,2,0,0,5,0,0,0,0,4,0
83,3,0,0,5,0,0,0,0,4,1
128,6,0,0,7,1,0,0,0,6,1
79,2,0,0,8,0,0,0,0,6,1
33,2,0,0,4,0,0,0,0,3,0
49,2,0,0,6,0,1,0,0,4,0
53,3,0,0,5,0,0,0,0,4,0
177,3,0,0,6,1,0,0,0,5,1
40,2,0,0,4,0,0,0,0,3,1
50,2,0,0,5,1,0,0,0,3,1
78,6,0,0,3,2,0,0,0,1,1
83,1,0,0,5,1,0,0,0,3,1
376,3,0,0,5,9,0,0,0,4,1
114,2,0,0,7,1,0,0,0,5,1
26,1,0,0,3,0,1,0,0,2,1
83,1,0,0,5,1,0,0,0,3,1
101,5,0,0,6,0,0,0,0,5,1
61,3,0,0,5,2,0,0,0,4,0
51,2,0,0,5,0,0,0,0,3,0
25,1,0,0,4,0,1,0,0,2,0
54,3,0,0,5,0,0,0,0,4,0
67,2,0,0,5,0,0,0,0,3,1
